region,GDP(亿元),GDP增速(%),第一产业(亿元),第二产业(亿元),第三产业(亿元),常住人口(万人),城镇化率(%),人口自然增长率(‰),全体居民可支配收入(元),城镇可支配收入(元),农村可支配收入(元),社消零售总额(亿元),社消增速(%),固投增速(%),一般公共预算收入(亿元),财政收入增速(%),province
东部,52073.4,5.4,109.2,7187.4,44776.9,2180.0,88.3,-0.73,89090.0,96292,42012,13677.0,-2.9,5.5,6680.6,4.8,北京
东部,18539.82,4.8,293.55,6154.46,12091.81,1363.0,86.21,-3.08,55918.0,60099,34465,,0.3,1.6,2221.73,4.1,天津
东部,49305.2,5.6,4514.5,17622.4,27168.3,7354.0,64.54,-3.59,36439.0,47544,23319,15483.2,5.6,6.1,4398.6,2.0,河北
东部,56708.71,5.4,99.39,11650.62,44958.7,2485.41,,-2.3,91987.0,96842,48122,16600.93,4.6,4.6,8500.91,1.5,上海
东部,142351.5,5.3,5369.7,60038.2,76943.7,8518.0,76.2,-3.6,57971.0,68956,34147,46394.2,3.3,-12.7,10245.7,2.1,江苏
东部,94545.0,5.5,2657.0,35682.0,56206.0,6701.0,76.4,-1.18,70240.0,81649,45154,39216.0,4.0,-9.1,8865.0,1.8,浙江
东部,60199.45,5.0,3354.37,25497.34,31347.74,4190.0,72.58,-1.52,50302.0,61437,30162,25433.59,4.4,-3.3,3723.35,3.0,福建
东部,103197.5,5.5,6774.9,40541.4,55881.1,10043.0,67.54,-3.05,44180.0,56444,26613,42082.9,5.1,-8.6,7864.3,2.0,山东
东部,145846.76,3.9,5891.8,54993.5,84961.46,12859.0,76.58,2.26,53669.0,63974,28170,46296.74,2.8,-17.3,13938.94,3.0,广东
东部,8108.85,4.0,1642.55,1463.86,5002.44,1055.0,64.08,,36306.0,45829,23307,2673.58,5.0,-16.5,903.74,1.5,海南
东北,33182.9,3.7,2763.0,11027.6,19392.4,4131.0,74.63,-6.88,41703.0,50057,23942,10371.3,1.4,-19.0,2918.2,0.4,辽宁
东北,14973.88,5.0,1670.68,4716.33,8586.87,2296.69,66.83,-6.37,,40817,21911,4396.67,3.9,-13.1,1349.97,13.3,吉林
东北,16878.0,4.2,3352.6,4008.8,9516.6,3001.0,68.98,,32851.0,39901,22188,5622.1,3.2,-10.3,1535.0,5.7,黑龙江
中部,25495.68,4.0,1410.52,10305.0,13780.15,3424.01,67.35,-3.32,33923.0,44649,19766,8030.9,4.7,-0.4,3218.6,-9.1,山西
中部,52989.0,5.5,3552.0,20055.0,29383.0,6082.0,63.6,-3.84,38755.0,51737,23828,23863.1,4.2,-9.2,4157.3,2.9,安徽
中部,36020.0,5.2,2649.9,14274.5,19095.6,4474.0,64.8,-1.98,37846.0,49580,23956,13422.7,4.7,1.6,3079.2,0.4,江西
中部,66632.79,5.6,5538.08,24926.8,36167.92,9744.0,59.95,-2.13,33215.0,43926,22550,29090.5,5.6,4.0,4501.66,2.5,河南
中部,62660.9,5.5,5380.66,21865.9,35414.34,5811.0,67.39,-4.6,38881.0,49164,23921,27938.62,2.7,2.6,4210.55,6.9,湖北
中部,55308.7,4.8,4951.8,19915.5,30441.4,6492.0,63.0,-4.4,39545.0,53369,23501,21204.6,3.6,-11.7,3507.6,1.7,湖南
西部,26710.3,4.7,3036.8,11292.7,12380.8,2374.0,71.48,-4.58,41921.0,52829,23855,5375.5,4.3,4.0,3005.2,-4.6,内蒙古
西部,29727.45,5.1,4631.71,9577.24,15518.5,4989.0,58.09,-0.9,32721.0,44793,21149,8396.3,3.0,-8.2,1922.05,4.6,广西
西部,33757.93,5.3,2124.14,11787.74,19846.05,3187.26,73.02,-4.61,41580.0,51854,23448,16688.5,3.1,-0.7,2735.8,5.4,重庆
西部,67665.3,5.5,5751.4,23260.2,38653.8,8318.0,61.38,-4.22,36120.0,49428,22494,29135.4,5.1,-2.4,5853.9,3.9,四川
西部,23562.17,4.9,3023.35,7298.24,13240.58,3857.0,57.66,1.27,30001.0,46289,16764,,1.7,-3.7,2223.3,2.5,贵州
西部,32765.78,4.1,4320.77,10500.61,17944.4,4644.0,55.02,-1.25,31311.0,46699,18514,12786.21,2.4,-7.0,2243.3,2.3,云南
西部,3031.89,7.0,283.51,1156.24,1592.14,374.0,40.11,5.64,33600.0,58794,23184,1078.54,4.4,17.2,317.9,14.7,西藏
西部,36551.1,5.1,2746.5,14521.16,19283.44,3936.0,67.17,-2.54,35790.0,49053,19286,11587.99,6.0,-2.8,3289.44,-3.1,陕西
西部,13697.5,5.8,1773.0,4558.2,7366.3,2443.0,58.08,-2.29,28224.0,43910,15001,4237.6,2.5,-1.3,1112.4,5.7,甘肃
西部,4121.84,4.1,398.51,1719.86,2003.48,592.0,64.7,0.68,31661.0,43879,17721,1048.99,2.0,-7.9,354.95,-4.2,青海
西部,5696.49,5.3,469.86,2360.38,2866.25,732.0,69.13,1.78,35184.0,46593,20142,1449.1,2.1,6.0,540.57,4.6,宁夏
西部,21462.14,5.5,2816.27,8189.91,10455.95,2639.0,61.61,2.7,32881.0,45106,20793,4107.82,3.6,7.2,2662.8,10.5,新疆
