province,year,gdp
北京市	,2025,	
天津市	,2025,	
河北省	,2025,	
山西省	,2025,	
内蒙古自治区	,2025,	
辽宁省	,2025,	
吉林省	,2025,	
黑龙江省	,2025,	
上海市	,2025,	
江苏省	,2025,	
浙江省	,2025,	
安徽省	,2025,	
福建省	,2025,	
江西省	,2025,	
山东省	,2025,	
河南省	,2025,	
湖北省	,2025,	
湖南省	,2025,	
广东省	,2025,	
广西壮族自治区	,2025,	
海南省	,2025,	
重庆市	,2025,	
四川省	,2025,	
贵州省	,2025,	
云南省	,2025,	
西藏自治区	,2025,	
陕西省	,2025,	
甘肃省	,2025,	
青海省	,2025,	
宁夏回族自治区	,2025,	
新疆维吾尔自治区	,2025,	
北京市	,2024,49670.2
天津市	,2024,17931.3
河北省	,2024,47448.1
山西省	,2024,25353.5
内蒙古自治区	,2024,26337.0
辽宁省	,2024,32540.8
吉林省	,2024,14305.0
黑龙江省	,2024,16478.1
上海市	,2024,53759.5
江苏省	,2024,136696.9
浙江省	,2024,90007.0
安徽省	,2024,50646.7
福建省	,2024,57476.6
江西省	,2024,34227.9
山东省	,2024,98406.9
河南省	,2024,63557.1
湖北省	,2024,59644.3
湖南省	,2024,53084.7
广东省	,2024,141488.9
广西壮族自治区	,2024,28694.1
海南省	,2024,7972.7
重庆市	,2024,32046.7
四川省	,2024,64537.9
贵州省	,2024,22645.7
云南省	,2024,31423.4
西藏自治区	,2024,2789.1
陕西省	,2024,35437.1
甘肃省	,2024,13020.5
青海省	,2024,3965.5
宁夏回族自治区	,2024,5520.2
新疆维吾尔自治区	,2024,20492.4
北京市	,2023,47353.7
天津市	,2023,17211.8
河北省	,2023,45660.0
山西省	,2023,26050.8
内蒙古自治区	,2023,25020.5
辽宁省	,2023,31389.8
吉林省	,2023,13942.7
黑龙江省	,2023,16470.7
上海市	,2023,51404.5
江苏省	,2023,130924.3
浙江省	,2023,85619.6
安徽省	,2023,48227.5
福建省	,2023,54801.7
江西省	,2023,32677.1
山东省	,2023,94206.4
河南省	,2023,60627.7
湖北省	,2023,56794.3
湖南省	,2023,50667.5
广东省	,2023,137905.4
广西壮族自治区	,2023,27501.7
海南省	,2023,7590.2
重庆市	,2023,30614.3
四川省	,2023,61353.4
贵州省	,2023,21513.7
云南省	,2023,30595.8
西藏自治区	,2023,2532.9
陕西省	,2023,33976.5
甘肃省	,2023,12345.7
青海省	,2023,3849.2
宁夏回族自治区	,2023,5368.8
新疆维吾尔自治区	,2023,19603.3
北京市	,2022,45222.4
天津市	,2022,16588.5
河北省	,2022,43198.3
山西省	,2022,25653.2
内蒙古自治区	,2022,23795.7
辽宁省	,2022,29739.7
吉林省	,2022,13121.4
黑龙江省	,2022,16359.2
上海市	,2022,48594.5
江苏省	,2022,124564.2
