code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002101000,FS_Combas-A002100000,FS_Combas-A002201000,FS_Combas-A002200000,FS_Combas-A002000000,FS_Combas-A003000000
000001,2000,平安银行,,67227499769.0,,,,,62488616114.0,4738883655.0
000002,2000,万科A,995745160.05,5622247214.95,566000000.0,2532706262.71,80000000.0,123895991.54,2656602254.25,2965644960.7
000003,2000,PT 金田A,58018167.85,2494445663.71,1231220883.13,2700269414.04,30292208.41,292798703.17,2993068117.21,-498622453.5
000004,2000,*ST 国华,64780229.73,508206707.12,221200000.0,387304340.81,0.0,0.0,387304340.81,120902366.31
000005,2000,ST 星源,29118049.74,2020667029.16,718861442.0,1016766404.14,163000000.0,163000000.0,1179766404.14,840900625.02
000006,2000,深振业A,416426448.88,3787811194.43,850960000.0,2415305159.86,0.0,108562153.4,2523867313.26,1263943881.17
000007,2000,全新好,32119793.59,951889239.55,366892264.61,812670414.8,0.0,1250000.0,813920414.8,137968824.75
000008,2000,神州高铁,9202811.0,290828409.0,75000000.0,166631021.0,0.0,0.0,166631021.0,124197388.0
000009,2000,中国宝安,157389353.76,4664228632.5,1270035870.79,3136617320.93,103484587.7,130967783.09,3267585104.02,1396643528.48
000010,2000,美丽生态,45099038.71,351781927.8,149316075.8,186784765.76,0.0,-1949780.14,184834985.62,166946942.18
000011,2000,深物业A,287349286.93,2667288668.25,967620154.09,2267807909.7,5995319.3,99527806.33,2367335716.03,299952952.22
000012,2000,南玻A,240350131.62,2824842003.12,481550000.0,934603359.19,0.0,110572.54,934713931.73,1890128071.39
000013,2000,*ST 石化A,83912395.27,2329941990.9,1050231507.41,1441253416.17,168078287.55,170819256.17,1612072672.34,717869318.56
000014,2000,沙河股份,11002667.06,310419895.17,116008579.4,256328897.42,15000000.0,15000000.0,271328897.42,39090997.75
000015,2000,PT 中浩A,9391030.37,723070531.11,704084290.86,1389098541.19,0.0,381214.54,1389479755.73,-666409224.62
000016,2000,深康佳A,1426065153.15,10063013806.96,1140718635.41,6099108007.61,77881614.41,90099497.46,6189207505.07,3873806301.89
000017,2000,深中华A,73775175.07,2459306434.0,670495624.22,2350845703.0,2000000.0,66712298.58,2417558001.58,41748432.42
000018,2000,神城A退,68445070.0,437732668.0,77000000.0,111597557.0,7904481.0,19050354.0,130647911.0,307084757.0
000019,2000,深粮控股,88628774.42,426110873.62,102000000.0,136465911.91,0.0,0.0,136465911.91,289644961.71
000020,2000,深华发A,67230843.76,466966587.56,105550000.0,167636027.53,0.0,0.0,167636027.53,299330560.03
000021,2000,深科技,877121986.74,3874861637.62,816050000.0,1311722323.52,234400000.0,234141989.73,1545864313.25,2328997324.37
000022,2000,深赤湾A,141806806.46,2252338533.67,385000000.0,562051084.01,439759112.21,440014603.44,1002065687.45,1250272846.22
000023,2000,*ST 深天,165414649.31,828554545.17,275011571.44,535044719.26,3310000.0,3310000.0,538354719.26,290199825.91
000024,2000,招商地产,701345506.48,4888827687.37,811533141.27,1814847019.61,507642073.98,567850016.49,2382697036.1,2506130651.27
000025,2000,特力A,32323968.43,766478943.77,367777941.95,643591491.96,2500000.0,24283299.71,667874791.67,98604152.1
000026,2000,飞亚达,272765674.77,781982535.21,111000000.0,179442572.71,0.0,502788.63,179945361.34,602037173.87
000027,2000,深圳能源,526263400.99,7544313536.46,510000000.0,2277117944.22,915709436.3,915709436.3,3192827380.52,4351486155.94
000028,2000,国药一致,43336927.13,490886574.51,47880000.0,85826814.66,0.0,0.0,85826814.66,405059759.85
000029,2000,深深房A,331103870.96,4113913509.6,1003785997.01,2442674113.39,75782958.84,121985458.23,2564659571.62,1549253937.98
000030,2000,富奥股份,149372301.77,1438282665.31,866996233.15,1321315417.34,0.0,0.0,1321315417.34,116967247.97
000031,2000,大悦城,157992707.42,1406701409.18,80000000.0,363283795.81,0.0,92580757.37,455864553.18,950836856.0
000032,2000,深桑达A,108164704.84,845296102.08,281220000.0,522044431.24,1000000.0,50300000.0,572344431.24,272951670.84
000033,2000,新都退,9031656.63,661695658.96,8000000.0,157059346.01,82781000.0,82781000.0,239840346.01,421855312.95
000034,2000,神州数码,340083174.58,1368965915.26,279750000.0,563052669.47,407895600.0,409415614.64,972468284.11,396497631.15
000035,2000,中国天楹,258153481.02,844546134.38,229100000.0,625793742.61,0.0,0.0,625793742.61,218752391.77
000036,2000,华联控股,361044784.1,2629279494.88,149095000.0,1296074388.53,52674522.18,236404952.43,1532479340.96,1096800153.92
000037,2000,深南电A,189046106.7,1341408120.93,430000000.0,536276655.72,100000000.0,87589837.85,623866493.57,717541627.36
000038,2000,大通退,6271300.15,184439703.86,11870000.0,48626312.44,0.0,0.0,48626312.44,135813391.42
000039,2000,中集集团,225224916.9,6639791527.07,130764842.05,3191576203.15,801250000.0,808049262.65,3999625465.8,2640166061.27
000040,2000,*ST 旭蓝,260802814.0,2369836206.0,667517500.0,1019130943.0,24282625.0,47662104.0,1066793047.0,1303043159.0
000042,2000,中洲控股,398361587.25,3448564853.51,615150000.0,1984728139.0,33000000.0,77785362.76,2062513501.76,1386051351.75
000043,2000,中航善达,191796735.24,1241916738.81,471816000.0,696711795.27,0.0,68484640.33,765196435.6,476720303.21
000045,2000,深纺织A,183007107.12,696570046.89,196570000.0,361530270.33,2372012.86,7372012.86,368902283.19,327667763.7
000046,2000,*ST 泛海,51200163.31,1304624597.81,219028645.43,634401586.99,27190575.0,27190575.0,661592161.99,643032435.82
000047,2000,ST 中侨,5175834.86,1371652951.74,589382096.0,1178072155.02,0.0,79643036.57,1257715191.59,113937760.15
000048,2000,京基智农,242610787.0,1865610798.0,1049352894.0,1505896982.0,52542490.0,64948782.0,1570845764.0,294765034.0
000049,2000,德赛电池,10795088.12,460879727.24,160162000.0,249258232.67,0.0,8624386.0,257882618.67,202997108.57
000050,2000,深天马A,51608106.93,606933626.94,172575127.5,261120837.28,0.0,0.0,261120837.28,345812789.66
000055,2000,方大集团,274786151.0,1280868467.0,100500000.0,238783530.0,9000000.0,9000000.0,247783530.0,1033084937.0
000056,2000,皇庭国际,153806269.52,1108846910.43,440603000.0,673124135.7,0.0,129828.99,673253964.69,435592945.74
000058,2000,深赛格,487093029.54,4108583390.77,684060000.0,1420630978.04,458719742.55,459006632.28,1879637610.32,2228945780.45
000059,2000,华锦股份,61522341.25,2549493886.28,349000000.0,580738334.76,463323444.94,471772250.96,1052510585.72,1496983300.56
000060,2000,中金岭南,198306967.03,4579011658.95,1700103754.5,2482738970.56,602400000.0,923460821.64,3406199792.2,1172811866.75
000061,2000,农产品,214908435.18,2246596886.76,402900000.0,876713823.31,65048975.0,189593324.73,1066307148.04,1180289738.72
000062,2000,深圳华强,224399207.94,1264706635.81,0.0,117508291.59,0.0,0.0,117508291.59,1147198344.22
000063,2000,中兴通讯,872905351.07,6321006764.04,613614000.0,3308839481.57,876000000.0,1062320000.0,4371159481.57,1949847282.47
000065,2000,北方国际,17177344.37,306125469.81,78000000.0,157486119.87,0.0,1204050.38,158690170.25,147435299.56
000066,2000,中国长城,283507960.57,2228055702.85,305000000.0,1012271473.39,2000000.0,2210400.0,1014481873.39,1213573829.46
000068,2000,华控赛格,250183984.27,3074192412.81,190000000.0,679541347.45,891493815.78,891493815.78,1571035163.23,1503157249.58
000069,2000,华侨城A,104214442.01,1302839207.77,220000000.0,341143645.5,0.0,0.0,341143645.5,961695562.27
000070,2000,ST 特信,248346205.0,1369357327.0,180000000.0,446961699.0,136109592.0,134450396.0,581412095.0,787945232.0
000078,2000,海王生物,102517930.92,872297171.28,557545000.0,631549419.67,2000000.0,2000000.0,633549419.67,238747751.61
000088,2000,盐田港,188362711.83,3404245140.94,41000000.0,1092774151.46,787339110.5,784327724.39,1877101875.85,1527143265.09
000089,2000,深圳机场,393909680.47,2623583287.45,0.0,354575533.35,270000000.0,277086130.31,631661663.66,1991921623.79
000090,2000,天健集团,365053541.91,3007678477.9,495127810.0,1811141326.7,200000000.0,201845355.37,2012986682.07,994691795.83
000096,2000,广聚能源,451468774.1,1295618585.72,45000000.0,371384165.62,0.0,7847219.77,379231385.39,916387200.33
000099,2000,中信海直,505197164.67,1094266393.25,152145100.0,258836820.93,2460654.44,9657767.86,268494588.79,825771804.46
000100,2000,TCL科技,,,,,,,,
000150,2000,*ST 宜康,153901223.09,766803706.34,25000000.0,80311167.96,0.0,8884548.48,89195716.44,677607989.9
000151,2000,中成股份,669553728.35,989095476.22,20000000.0,219781351.83,0.0,16038780.07,235820131.9,753275344.32
000153,2000,丰原药业,381193558.13,634786180.28,36980000.0,91100226.13,5000000.0,11184441.14,102284667.27,532501513.01
000155,2000,川能动力,316077411.55,1773219082.68,70000000.0,323280976.84,52000000.0,134810710.37,458091687.21,1315127395.47
000156,2000,华数传媒,324703954.08,641256378.03,63040000.0,111450489.71,61500000.0,61213503.02,172663992.73,468592385.3
000157,2000,中联重科,595234693.75,950439785.37,0.0,124747838.11,0.0,11498407.97,136246246.08,814193539.29
000158,2000,常山北明,291039424.6,1885159536.88,96000000.0,644347444.16,49460000.0,53291135.97,697638580.13,1187520956.75
000159,2000,国际实业,339130391.3,893303773.92,240450000.0,304801237.61,2500000.0,14319647.96,319120885.57,574182888.35
000166,2000,申万宏源,,,,,,,,
000301,2000,东方盛虹,372105187.19,1788129796.29,175850000.0,553683713.44,15000000.0,19256652.08,572940365.52,1215189430.77
000333,2000,美的集团,,,,,,,,
000338,2000,潍柴动力,,,,,,,,
000400,2000,许继电气,265042319.45,2078863979.41,121670000.0,642450009.98,1100000.0,1100000.0,643550009.98,1435313969.43
000401,2000,冀东水泥,59730004.06,2238243947.94,87500000.0,537829737.15,146570000.0,156705650.96,694535388.11,1543708559.83
000402,2000,金融街,87345983.86,599748761.33,100000000.0,386416014.8,0.0,2204807.23,388620822.03,211127939.3
000403,2000,派林生物,173440130.37,1178575293.78,157540000.0,461971962.87,117321879.63,117321879.63,579293842.5,599281451.28
000404,2000,长虹华意,53439851.9,699795935.52,91940000.0,232594288.48,0.0,0.0,232594288.48,467201647.04
000405,2000,ST 鑫光,6914668.49,1049509615.9,179215129.96,449868687.23,19580000.0,17631999.47,467500686.7,582008929.2
000406,2000,石油大明,124526768.95,1804069489.54,201100000.0,502759632.79,0.0,0.0,502759632.79,1301309856.75
000407,2000,胜利股份,104721725.96,1034388362.68,53990000.0,359636153.22,14441532.59,21206689.94,380842843.16,653545519.52
000408,2000,藏格矿业,27822668.94,732385463.21,114981926.5,299882875.76,47863595.15,47863595.15,347746470.91,384638992.3
000409,2000,云鼎科技,39147324.78,321769721.93,2156100.0,67208969.25,90000.0,90000.0,67298969.25,254470752.68
000410,2000,沈阳机床,21902722.06,2864944013.91,340711629.58,844920585.82,0.0,1071509404.53,1916429990.35,948514023.56
000411,2000,英特集团,6495579.18,292303970.72,130580000.0,252484137.56,0.0,-6621837.87,245862299.69,46441671.03
000412,2000,ST 五环,20372041.33,803754749.41,257555000.0,457667257.65,20130000.0,22262784.04,479930041.69,323824707.72
000413,2000,ST 旭电,45463327.0,1616898335.0,127035327.0,991890941.0,0.0,0.0,991890941.0,625007394.0
000415,2000,渤海租赁,43916547.39,774442498.53,259300000.0,317550377.74,22000000.0,22000000.0,339550377.74,434892120.79
000416,2000,*ST 民控,7120686.82,381474800.88,115650000.0,161458146.38,0.0,-4659791.85,156798354.53,224676446.35
000417,2000,合百集团,275441014.29,974241901.62,24800000.0,371830718.61,0.0,0.0,371830718.61,602411183.01
000418,2000,小天鹅A,664362710.46,3407149351.94,550590000.0,1316355031.07,0.0,1068064.0,1317423095.07,2089726256.87
