code,year,Shrcr1,Shrhfd5
000001,2000,,
000001,2001,,
000001,2002,,
000001,2003,7.0838,0.011297
000001,2004,17.8898,0.033561
000001,2005,17.8898,0.033563
000001,2006,17.8898,0.033623
000001,2007,16.6963,0.029601
000001,2008,16.7582,0.032228
000001,2009,16.7582,0.031575
000001,2010,14.9632,0.036849
000001,2011,42.1562,0.184405
000001,2012,42.1562,0.18446
000001,2013,58.3002,0.346891
000001,2014,50.1965,0.257332
000001,2015,49.5649,0.250983
000001,2016,49.5649,0.250857
000001,2017,49.5649,0.251185
000001,2018,49.5649,0.251173
000001,2019,49.565,0.256419
000001,2020,49.565,0.260038
000001,2021,49.565,0.258495
000001,2022,49.565,0.254528
000001,2023,49.565,0.251863
000002,2000,,
000002,2001,,
000002,2002,,
000002,2003,11.1868,0.013636
000002,2004,12.8906,0.01828
000002,2005,11.8094,0.01511
000002,2006,14.5428,0.022445
000002,2007,14.6345,0.021906
000002,2008,14.7255,0.022056
000002,2009,14.7255,0.022258
000002,2010,14.7255,0.022114
000002,2011,14.7255,0.022248
000002,2012,14.725,0.022228
000002,2013,14.699,0.022026
000002,2014,14.9082,0.038131
000002,2015,15.2264,0.047074
000002,2016,15.2436,0.04845
000002,2017,29.3755,0.110235
000002,2018,29.3755,0.113248
000002,2019,28.692,0.106589
000002,2020,27.9126,0.108411
000002,2021,27.8942,0.107087
000002,2022,27.8815,0.107668
000002,2023,27.1804,0.11006
000003,2000,,
000003,2001,,
000003,2002,,
000004,2000,,
000004,2001,,
000004,2002,,
000004,2003,37.9429,0.15221
000004,2004,37.9429,0.151815
000004,2005,37.9429,0.149889
000004,2006,28.4445,0.084505
000004,2007,25.9643,0.06772
000004,2008,26.0756,0.070065
000004,2009,26.0961,0.07131
000004,2010,26.0961,0.073459
000004,2011,26.0961,0.072628
000004,2012,26.0961,0.071255
000004,2013,26.0961,0.071697
000004,2014,26.0961,0.069123
000004,2015,28.4182,0.096468
000004,2016,28.4182,0.096865
000004,2017,28.4327,0.094558
000004,2018,28.4327,0.091452
000004,2019,28.4327,0.089003
000004,2020,14.4662,0.049763
000004,2021,15.3054,0.045271
000004,2022,18.2215,0.043335
000004,2023,18.2858,0.039492
000005,2000,,
000005,2001,,
000005,2002,,
000005,2003,34.5394,0.124617
000005,2004,34.5394,0.124617
000005,2005,34.5394,0.124617
000005,2006,19.7746,0.042805
000005,2007,20.1386,0.042688
000005,2008,20.1502,0.042062
000005,2009,20.1502,0.042048
000005,2010,20.1502,0.042188
000005,2011,20.1502,0.042522
000005,2012,20.1502,0.042539
000005,2013,20.1502,0.042651
000005,2014,20.1502,0.042026
000005,2015,17.4052,0.032412
000005,2016,17.4052,0.032623
000005,2017,17.4052,0.032804
000005,2018,17.4052,0.033194
000005,2019,17.4052,0.033141
000005,2020,13.9098,0.020797
000005,2021,13.7524,0.020226
000005,2022,13.7524,0.020089
000005,2023,,
000006,2000,,
000006,2001,,
000006,2002,,
000006,2003,28.0248,0.082099
000006,2004,28.0248,0.082099
000006,2005,28.0248,0.082148
000006,2006,21.6185,0.049715
000006,2007,20.1718,0.043957
000006,2008,18.7611,0.036578
000006,2009,18.7611,0.038027
000006,2010,19.932,0.051072
000006,2011,19.932,0.051164
000006,2012,19.932,0.053733
000006,2013,20.3114,0.06099
000006,2014,21.9283,0.064912
000006,2015,21.9283,0.064052
000006,2016,21.9283,0.064033
000006,2017,21.9283,0.064033
000006,2018,21.9283,0.069054
000006,2019,21.9283,0.06934
000006,2020,21.9283,0.072156
000006,2021,21.9283,0.071117
000006,2022,21.9283,0.071021
000006,2023,21.9283,0.070998
000007,2000,,
000007,2001,,
000007,2002,,
000007,2003,28.0,0.084891
000007,2004,28.0,0.084891
000007,2005,28.0,0.084891
000007,2006,21.7372,0.051162
000007,2007,21.7372,0.048962
000007,2008,21.7372,0.048662
000007,2009,21.7372,0.048432
000007,2010,21.7372,0.04835
000007,2011,17.4079,0.050876
000007,2012,17.4079,0.050697
000007,2013,17.4079,0.051934
000007,2014,13.4246,0.035796
000007,2015,15.1673,0.038461
000007,2016,13.5254,0.038622
000007,2017,13.5254,0.038622
000007,2018,21.6483,0.060763
000007,2019,21.6483,0.061374
000007,2020,21.6483,0.060954
000007,2021,14.2539,0.035448
000007,2022,14.2539,0.035306
000007,2023,12.989,0.038927
000008,2000,,
000008,2001,,
000008,2002,,
000008,2003,28.3667,0.093938
000008,2004,28.3667,0.105981
000008,2005,22.1897,0.066682
000008,2006,22.1897,0.066682
000008,2007,22.1897,0.056261
000008,2008,22.1897,0.053391
000008,2009,23.1476,0.057581
000008,2010,23.1476,0.058241
000008,2011,23.1476,0.056638
000008,2012,62.7115,0.393882
000008,2013,62.7115,0.393851
000008,2014,51.4804,0.270096
000008,2015,28.2176,0.091951
000008,2016,12.4596,0.024167
000008,2017,12.4187,0.025808
000008,2018,20.0,0.063781
000008,2019,22.923,0.071718
000008,2020,25.6192,0.083508
000008,2021,25.6192,0.083506
000008,2022,25.6192,0.083548
000008,2023,26.2268,0.086285
000009,2000,,
000009,2001,,
000009,2002,,
000009,2003,11.6418,0.02652
000009,2004,11.6418,0.02652
000009,2005,11.6418,0.02652
000009,2006,11.6418,0.02652
000009,2007,11.6418,0.027284
000009,2008,8.3371,0.012118
000009,2009,8.4041,0.012922
000009,2010,8.4367,0.0148
000009,2011,11.9568,0.020529
000009,2012,12.3429,0.020361
000009,2013,12.3429,0.020968
000009,2014,12.3429,0.019549
000009,2015,11.9113,0.017546
000009,2016,11.9113,0.017452
000009,2017,11.9113,0.017454
000009,2018,11.9113,0.019783
000009,2019,11.9113,0.01997
000009,2020,9.9727,0.018296
000009,2021,13.6359,0.025961
000009,2022,15.1933,0.049849
000009,2023,17.5464,0.05992
000010,2000,,
000010,2001,,
000010,2002,,
000010,2003,24.0741,0.096409
000010,2004,24.0741,0.096409
000010,2005,24.0741,0.096409
000010,2006,24.0741,0.096409
000010,2007,24.0741,0.096409
000010,2008,24.0741,0.096673
000010,2009,24.0741,0.096409
000010,2010,24.0741,0.096409
000010,2012,24.0741,0.096409
000010,2013,29.9896,0.108816
000010,2014,29.9896,0.104917
000010,2015,21.5111,0.054329
000010,2016,21.5111,0.051324
000010,2017,21.5111,0.050417
000010,2018,13.5078,0.026638
000010,2019,14.5655,0.029825
000010,2020,14.5655,0.030383
000010,2021,14.5655,0.030466
000010,2022,33.8393,0.119838
000010,2023,29.8495,0.093309
000011,2000,,
000011,2001,,
000011,2002,,
000011,2003,59.7542,0.368014
000011,2004,59.7542,0.368015
000011,2005,59.7542,0.368014
000011,2006,59.7542,0.368022
000011,2007,59.7542,0.368181
000011,2008,59.7542,0.368108
000011,2009,54.2231,0.303172
000011,2010,54.2231,0.30309
