code,year,stknme,AnaAttention,Audittyp,InternationalBig4,Ysmvosd,Ysmvttl,Yretwd,PropertyRightsNature,Seperation,ActualControllerNatureID,OwnershipProportion,ControlProportion,Shrcr1,Shrhfd5,Shrz,FundHoldProportion,QFIIHoldProportion,BrokerHoldProportion,BankHoldProportion,NonFinanceHoldProportion,InsInvestorProp,StaffNumber,ConcurrentPosition,Boardsize2,ExecutivesNumber,IndDirector,SumSalary,TOP3SumSalary,Ynshrtrd,DirectorHoldshares,ManageHoldshares
1.0,2000,平安银行,,标准无保留意见,2.0,20228171.57,28253337.6,-0.047441,,,,,,,,,0.0588,,,,,0.0588,4540.0,0.0,11.0,6.0,0.0,,,1816437188,724369.0,4192.0
1.0,2001,平安银行,,标准无保留意见,2.0,17264684.07,23836321.33,-0.156336,,,,,,,,,0.2785,,,,,0.2785,5089.0,0.0,14.0,7.0,3.0,,,1260439320,724369.0,4192.0
1.0,2002,平安银行,1.098612,标准无保留意见,2.0,14784207.01,20411674.34,-0.135145,,,,,,,,,1.937,,,,,1.937,5834.0,,14.0,8.0,3.0,,,2186394543,724369.0,0.0
1.0,2003,平安银行,1.386294,标准无保留意见,2.0,11993670.32,16558946.49,-0.175335,1.0,0.0,1100,7.08,7.08,7.0838,0.011297,1.2274,0.9244,,1.901,,,26.6754,6471.0,0.0,14.0,6.0,3.0,,0.0,2113163441,730179.0,0.0
1.0,2004,平安银行,1.791759,带有解释性说明的无保留意见,2.0,9287695.35,12822967.96,-0.225617,0.0,,"3200,3200,3200,3200",,,17.8898,0.033561,5.5923,1.5562,,1.74,,,27.8712,6999.0,0.0,13.0,4.0,5.0,,0.0,1783409887,78560.0,0.0
1.0,2005,平安银行,1.791759,标准无保留意见,2.0,8653482.47,11947347.99,-0.068285,0.0,,"3200,3200,3200,3200",,,17.8898,0.033563,5.5923,2.3551,0.44,1.74,,,29.5501,7142.0,1.0,14.0,6.0,4.0,19908400.0,9686100.0,1836732966,78560.0,0.0
1.0,2006,平安银行,2.302585,标准无保留意见,2.0,20393467.63,28156046.5,1.356678,0.0,,"3200,3200,3200,3200",,,17.8898,0.033623,5.5923,10.0292,1.753,3.154,,,38.6432,7737.0,1.0,13.0,6.0,4.0,26930000.0,14150000.0,4601318282,78560.0,50000.0
1.0,2007,平安银行,3.135494,标准无保留意见,1.0,67813273.19,88525515.8,1.935114,0.0,,"3200,3200,3200",,,16.6963,0.029601,5.5923,36.9563,,1.63,,,61.7833,8573.0,1.0,14.0,7.0,4.0,45380000.0,30580000.0,6635276829,1092.0,61592.0
1.0,2008,平安银行,3.806662,标准无保留意见,1.0,26342370.22,29377403.39,-0.680418,0.0,,"3200,3200,3200",,,16.7582,0.032228,3.4473,26.3145,,1.5,,,56.8585,10381.0,1.0,14.0,6.0,4.0,40500000.0,23150000.0,6180138282,1484.0,1484.0
1.0,2009,平安银行,4.204693,标准无保留意见,1.0,71260664.59,75679420.78,1.57611,0.0,,"3200,3200,3200",,,16.7582,0.031575,3.6918,34.4229,1.1,1.49,,,64.1729,11308.0,1.0,15.0,6.0,5.0,44760000.0,25780000.0,10173369859,1484.0,1484.0
