code,listing_year,industry
000001,1991,I
000002,1991,J
000003,1991,M
000004,1991,F
000005,1990,M
000006,1992,J
000007,1992,J
000008,1992,G
000009,1991,M
000010,1995,H
000011,1992,M
000012,1992,C
000013,1992,H
000014,1992,J
000015,1992,M
000016,1992,C
000017,1992,C
000018,1992,C
000019,1992,C
000020,1992,C
000021,1994,G
000022,1993,F
000023,1993,E
000024,1993,J
000025,1993,M
000026,1993,C
000027,1993,D
000028,1993,C
000029,1993,J
000030,1993,C
000031,1993,J
000032,1993,G
000033,1994,K
000034,1994,M
000035,1994,G
000036,1994,C
000037,1994,D
000038,1994,G
000039,1994,C
000040,1994,M
000042,1994,J
000043,1994,M
000045,1994,C
000046,1994,J
000047,1994,J
000048,1994,C
000049,1995,C
000050,1995,C
000055,1995,C
000056,1995,H
000058,1996,C
000059,1997,C
000060,1997,C
000061,1997,H
000062,1997,K
000063,1997,G
000065,1998,E
000066,1997,G
000068,1997,C
000069,1997,K
000070,2000,C
000078,1998,C
000088,1997,F
000089,1998,F
000090,1999,E
000096,2000,H
000099,2000,F
000100,2004,C
000150,2000,J
000151,2000,K
000153,2000,C
000155,2000,C
000156,2000,C
000157,2000,C
000158,2000,C
000159,2000,C
000166,2015,J
000301,2000,C
000333,2013,C
000338,2004,C
000400,1997,C
000401,1996,C
000402,1996,J
000403,1996,C
000404,1996,C
000405,1996,C
000406,1996,B
000407,1996,C
000408,1996,C
000409,1996,C
000410,1996,C
000411,1996,H
000412,1996,M
000413,1996,C
000415,1996,E
000416,1996,C
000417,1996,H
000418,1996,C
000419,1996,H
000420,1996,C
000421,1996,K
000422,1996,C
000423,1996,C
000425,1996,C
000426,1996,D
000428,1996,K
000429,1996,F
000430,1996,K
000488,1997,C
000498,1997,C
000501,1992,H
000502,1992,J
000503,1992,M
000504,1992,L
000505,1992,J
000506,1993,C
000507,1993,M
000509,1993,A
000510,1993,C
000511,1993,J
000513,1993,C
000514,1993,J
000515,1993,C
000516,1993,H
000517,1993,G
000518,1993,C
000519,1993,C
000520,1993,C
000521,1993,C
000522,1993,C
000523,1993,C
000524,1993,K
000525,1993,C
000526,1993,M
000527,1993,C
000528,1993,C
000529,1993,C
000530,1993,C
000531,1994,D
000532,1994,D
000533,1994,C
000534,1994,D
000535,1993,C
000536,1993,C
000537,1993,M
000538,1993,C
000539,1993,D
000540,1994,M
000541,1993,C
000542,1993,G
000543,1993,D
000544,1993,C
000545,1993,C
000546,1993,J
000547,1993,G
000548,1993,K
000549,1993,C
000550,1993,C
000551,1994,C
000552,1994,B
000553,1993,C
000554,1993,H
000555,1994,G
000556,1994,F
000557,1994,C
000558,1994,J
000559,1994,C
000560,1994,H
000561,1994,C
000562,1994,I
000563,1994,I
000564,1994,H
000565,1994,C
000566,1994,C
000567,1994,M
000568,1994,C
000569,1994,C
000570,1994,C
000571,1994,C
000572,1994,M
000573,1994,J
000576,1994,C
000578,1995,H
000581,1995,C
000582,1995,F
000583,1995,G
000584,1995,M
000585,1995,C
000586,1995,H
000587,1996,C
000588,1996,A
000589,1996,C
000590,1996,C
000591,1996,C
000592,1996,J
000593,1996,H
000594,1996,B
000595,1996,C
000596,1996,C
000597,1996,C
000598,1996,C
000599,1996,C
000600,1996,D
000601,1996,D
000602,1996,G
000603,1996,C
000605,1996,C
000606,1996,C
000607,1996,C
000608,1996,J
000609,1996,C
000610,1996,K
000611,1996,C
000612,1996,C
000613,1996,K
000615,1996,C
000616,1996,J
000617,1996,C
000618,1995,C
000619,1996,C
000620,1996,C
000621,1996,G
000622,1996,C
000623,1996,C
000625,1996,C
000626,1996,M
000627,1996,C
000628,1996,J
000629,1996,C
000630,1996,C
000631,1996,C
000632,1996,M
000633,1996,M
000635,1996,C
000636,1996,C
000637,1996,C
000638,1996,M
000639,1996,C
000650,1996,C
000651,1996,C
000652,1996,F
000653,1996,H
000655,1996,C
000656,1996,C
000657,1996,C
000658,1996,M
000659,1996,C
000660,1996,M
000661,1996,C
000662,1996,M
000663,1996,A
000665,1996,C
000666,1996,C
000667,1996,J
000668,1996,H
000669,1996,G
000670,1996,H
000671,1996,M
000672,1996,H
000673,1997,C
000675,1996,C
000676,1996,C
000677,1996,C
000678,1997,C
000679,1997,H
000680,1997,C
000681,1997,C
000682,1997,G
000683,1997,C
000685,1997,K
000686,1997,I
000687,1997,C
000688,1997,G
000689,1996,C
000690,1997,J
000691,1997,M
000692,1997,D
000693,1997,L
000695,1997,C
000697,1997,C
000698,1997,C
000699,1997,C
000700,1997,C
000701,1997,H
000702,1997,C
000703,1997,G
000705,1997,H
000707,1997,C
000708,1997,C
000709,1997,C
000710,1997,C
000711,1997,J
000712,1997,C
000713,1997,A
000715,1997,H
000716,1997,M
000717,1997,C
000718,1997,C
000719,1997,C
000720,1997,D
000721,1997,K
000722,1997,M
000723,1997,C
000725,1997,C
000726,1997,C
000727,1997,C
000728,1997,I
000729,1997,C
000730,1997,E
000731,1997,C
000732,1997,C
000733,1997,C
000735,1997,A
000736,1997,C
000737,1997,C
000738,1997,C
000739,1997,C
000748,1997,G
000750,1997,C
000751,1997,C
000752,1997,C
000753,1997,F
000755,1997,C
000756,1996,C
000757,1997,C
000758,1997,E
000759,1997,H
000760,1997,C
000761,1997,C
000762,1997,B
000763,1997,C
000765,1997,H
000766,1997,C
000767,1997,D
