code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002000000,FS_Combas-A002100000,FS_Combas-A002200000,FS_Combas-A002101000,FS_Combas-A002201000,FS_Combas-A003000000,FS_Comins-B002000000,Shrcr1,Shrhfd5,listing_year
1.0,2000,平安银行,,67227499769,62488616114,,,,,4738883655,506551785,,,1991.0
2.0,2000,万科A,995745160.05,5622247214.95,2656602254.25,2532706262.71,123895991.54,566000000,80000000,2965644960.7,311177265.88,,,1991.0
3.0,2000,PT 金田A,58018167.85,2494445663.71,2993068117.21,2700269414.04,292798703.17,1231220883.13,30292208.41,-498622453.5,-598663190.63,,,1991.0
4.0,2000,*ST 国华,64780229.73,508206707.12,387304340.81,387304340.81,0,221200000,0,120902366.31,22487432.48,,,1991.0
5.0,2000,ST 星源,29118049.74,2020667029.16,1179766404.14,1016766404.14,163000000,718861442,163000000,840900625.02,-9311870.31,,,1990.0
6.0,2000,深振业A,416426448.88,3787811194.43,2523867313.26,2415305159.86,108562153.4,850960000,0,1263943881.17,136489306.3,,,1992.0
7.0,2000,全新好,32119793.59,951889239.55,813920414.8,812670414.8,1250000,366892264.61,0,137968824.75,-178594168.03,,,1992.0
8.0,2000,神州高铁,9202811,290828409,166631021,166631021,0,75000000,0,124197388,17833845,,,1992.0
9.0,2000,中国宝安,157389353.76,4664228632.5,3267585104.02,3136617320.93,130967783.09,1270035870.79,103484587.7,1396643528.48,53013491.94,,,1991.0
10.0,2000,美丽生态,45099038.71,351781927.8,184834985.62,186784765.76,-1949780.14,149316075.8,0,166946942.18,21423044.53,,,1995.0
11.0,2000,深物业A,287349286.93,2667288668.25,2367335716.03,2267807909.7,99527806.33,967620154.09,5995319.3,299952952.22,52628509.16,,,1992.0
12.0,2000,南玻A,240350131.62,2824842003.12,934713931.73,934603359.19,110572.54,481550000,0,1890128071.39,171535140.2,,,1992.0
13.0,2000,*ST 石化A,83912395.27,2329941990.9,1612072672.34,1441253416.17,170819256.17,1050231507.41,168078287.55,717869318.56,60985525.48,,,1992.0
14.0,2000,沙河股份,11002667.06,310419895.17,271328897.42,256328897.42,15000000,116008579.4,15000000,39090997.75,14187263.6,,,1992.0
15.0,2000,PT 中浩A,9391030.37,723070531.11,1389479755.73,1389098541.19,381214.54,704084290.86,0,-666409224.62,-165719898.67,,,1992.0
16.0,2000,深康佳A,1426065153.15,10063013806.96,6189207505.07,6099108007.61,90099497.46,1140718635.41,77881614.41,3873806301.89,249150920.52,,,1992.0
17.0,2000,深中华A,73775175.07,2459306434,2417558001.58,2350845703,66712298.58,670495624.22,2000000,41748432.42,-180361542.47,,,1992.0
18.0,2000,神城A退,68445070,437732668,130647911,111597557,19050354,77000000,7904481,307084757,5063165,,,1992.0
19.0,2000,深粮控股,88628774.42,426110873.62,136465911.91,136465911.91,0,102000000,0,289644961.71,10620265.95,,,1992.0
20.0,2000,深华发A,67230843.76,466966587.56,167636027.53,167636027.53,0,105550000,0,299330560.03,2878053.63,,,1992.0
21.0,2000,深科技,877121986.74,3874861637.62,1545864313.25,1311722323.52,234141989.73,816050000,234400000,2328997324.37,150789946.36,,,1994.0
22.0,2000,深赤湾A,141806806.46,2252338533.67,1002065687.45,562051084.01,440014603.44,385000000,439759112.21,1250272846.22,112530008.87,,,1993.0
23.0,2000,*ST 深天,165414649.31,828554545.17,538354719.26,535044719.26,3310000,275011571.44,3310000,290199825.91,19363070.22,,,1993.0
24.0,2000,招商地产,701345506.48,4888827687.37,2382697036.1,1814847019.61,567850016.49,811533141.27,507642073.98,2506130651.27,297579201.36,,,1993.0
