source_file,raw_variable,clean_variable,definition,unit,note
CSMAR常用变量-2000-2024.xlsx,Stkcd,Stkcd,股票代码,代码,
CSMAR常用变量-2000-2024.xlsx,accper,accper,会计年度,日期,
CSMAR常用变量-2000-2024.xlsx,stknme,stknme,股票简称,文本,
CSMAR常用变量-2000-2024.xlsx,AnaAttention,AnaAttention,分析师关注度,数值,
CSMAR常用变量-2000-2024.xlsx,Audittyp,Audittyp,审计意见,枚举,
CSMAR常用变量-2000-2024.xlsx,InternationalBig4,InternationalBig4,审计师是否来自国际四大,枚举,
CSMAR常用变量-2000-2024.xlsx,Ysmvosd,Ysmvosd,年个股流通市值,,
CSMAR常用变量-2000-2024.xlsx,Ysmvttl,Ysmvttl,年个股总市值,,
CSMAR常用变量-2000-2024.xlsx,Yretwd,Yretwd,考虑现金红利再投资的年个股回报率,比率,
CSMAR常用变量-2000-2024.xlsx,PropertyRightsNature,PropertyRightsNature,产权性质,枚举,
CSMAR常用变量-2000-2024.xlsx,Seperation,Seperation,两权分离度,枚举,
CSMAR常用变量-2000-2024.xlsx,ActualControllerNatureID,ActualControllerNatureID,实际控制人性质编码,枚举,
CSMAR常用变量-2000-2024.xlsx,OwnershipProportion,OwnershipProportion,实际控制人拥有上市公司所有权比例,比率,
CSMAR常用变量-2000-2024.xlsx,ControlProportion,ControlProportion,实际控制人拥有上市公司控制权比例,比率,
CSMAR常用变量-2000-2024.xlsx,Shrcr1,Top1,股权集中度1,比率,
CSMAR常用变量-2000-2024.xlsx,Shrhfd5,HHI5,股权集中度9,比率,
CSMAR常用变量-2000-2024.xlsx,Shrz,Shrz,股权集中度5,比率,
CSMAR常用变量-2000-2024.xlsx,FundHoldProportion,FundHoldProportion,基金持股比例,比率,
CSMAR常用变量-2000-2024.xlsx,QFIIHoldProportion,QFIIHoldProportion,合格境外投资者持股比例,,
CSMAR常用变量-2000-2024.xlsx,BrokerHoldProportion,BrokerHoldProportion,券商持股比例,,
CSMAR常用变量-2000-2024.xlsx,BankHoldProportion,BankHoldProportion,银行持股比例,,
CSMAR常用变量-2000-2024.xlsx,NonFinanceHoldProportion,NonFinanceHoldProportion,非金融类上市公司持股比例,,
CSMAR常用变量-2000-2024.xlsx,InsInvestorProp,InsInvestorProp,机构投资者持股比例,,
CSMAR常用变量-2000-2024.xlsx,StaffNumber,StaffNumber,员工人数,数值,
CSMAR常用变量-2000-2024.xlsx,ConcurrentPosition,ConcurrentPosition,两职合一,枚举,
CSMAR常用变量-2000-2024.xlsx,Boardsize2,Boardsize2,董事会规模A,数值,
CSMAR常用变量-2000-2024.xlsx,ExecutivesNumber,ExecutivesNumber,高管人数,数值,
CSMAR常用变量-2000-2024.xlsx,IndDirector,IndDirector,独立董事人数,数值,
CSMAR常用变量-2000-2024.xlsx,SumSalary,SumSalary,管理层薪酬,元,
CSMAR常用变量-2000-2024.xlsx,TOP3SumSalary,TOP3SumSalary,高管前三名薪酬总额,元,
CSMAR常用变量-2000-2024.xlsx,Ynshrtrd,Ynshrtrd,年个股交易股数,数值,
CSMAR常用变量-2000-2024.xlsx,DirectorHoldshares,DirectorHoldshares,董事会持股数量,数值,
CSMAR常用变量-2000-2024.xlsx,ManageHoldshares,ManageHoldshares,高级管理人员持股数量,数值,
上市公司基本信息变更表2000-2024.xlsx,Symbol,Symbol,股票代码,代码,
上市公司基本信息变更表2000-2024.xlsx,AnnouncementDate,AnnouncementDate,公告日期,日期,
上市公司基本信息变更表2000-2024.xlsx,ImplementDate,ImplementDate,实施日期,日期,
上市公司基本信息变更表2000-2024.xlsx,ChangedItem,ChangedItem,变更属性,文本,
上市公司基本信息变更表2000-2024.xlsx,SecurityID,SecurityID,证券ID,代码,
上市公司基本信息变更表2000-2024.xlsx,ListedCoID,ListedCoID,上市公司ID,代码,
上市公司基本信息变更表2000-2024.xlsx,Value_Before,Value_Before,变更前值,文本,
上市公司基本信息变更表2000-2024.xlsx,Value_After,Value_After,变更后值,文本,
上市公司基本信息年度表.xlsx,Symbol,Symbol,股票代码,代码,
上市公司基本信息年度表.xlsx,ShortName,ShortName,股票简称,文本,
上市公司基本信息年度表.xlsx,EndDate,EndDate,统计截止日期,日期,
上市公司基本信息年度表.xlsx,ListedCoID,ListedCoID,上市公司ID,代码,
上市公司基本信息年度表.xlsx,SecurityID,SecurityID,证券ID,代码,
上市公司基本信息年度表.xlsx,IndustryName,IndustryName,行业名称,文本,
