年份,行业代码,行业名称,变量,均值,样本量
2001,C,制造业,SLoan,0.1658,630
2001,C,制造业,LLoan,0.0539,630
2001,C,制造业,Lev,0.429,630
2001,C,制造业,Cash,0.1818,630
2001,C,制造业,ROA,0.0195,630
2001,C,制造业,ROE,0.0182,630
2003,C,制造业,SLoan,0.1817,706
2003,C,制造业,LLoan,0.0532,706
2003,C,制造业,Lev,0.467,707
2003,C,制造业,Cash,0.1616,707
2003,C,制造业,ROA,0.0217,707
2003,C,制造业,ROE,0.0323,707
2005,C,制造业,SLoan,0.1851,756
2005,C,制造业,LLoan,0.0494,756
2005,C,制造业,Lev,0.5021,757
2005,C,制造业,Cash,0.145,757
2005,C,制造业,ROA,0.0126,757
2005,C,制造业,ROE,-0.0199,757
2007,C,制造业,SLoan,0.1665,880
2007,C,制造业,LLoan,0.047,873
2007,C,制造业,Lev,0.4908,880
2007,C,制造业,Cash,0.1572,880
2007,C,制造业,ROA,0.0463,880
2007,C,制造业,ROE,0.0932,880
2009,C,制造业,SLoan,0.139,1006
2009,C,制造业,LLoan,0.0546,1002
2009,C,制造业,Lev,0.4686,1006
2009,C,制造业,Cash,0.2071,1006
2009,C,制造业,ROA,0.0386,1006
2009,C,制造业,ROE,0.0483,1006
2011,C,制造业,SLoan,0.1159,1442
2011,C,制造业,LLoan,0.0351,1429
2011,C,制造业,Lev,0.4003,1442
2011,C,制造业,Cash,0.2469,1442
2011,C,制造业,ROA,0.0501,1442
2011,C,制造业,ROE,0.0739,1442
2013,C,制造业,SLoan,0.1151,1601
2013,C,制造业,LLoan,0.033,1598
2013,C,制造业,Lev,0.4196,1601
2013,C,制造业,Cash,0.1825,1601
2013,C,制造业,ROA,0.0385,1601
2013,C,制造业,ROE,0.0569,1601
2015,C,制造业,SLoan,0.1005,1946
2015,C,制造业,LLoan,0.0286,1943
2015,C,制造业,Lev,0.4025,1947
2015,C,制造业,Cash,0.1707,1947
2015,C,制造业,ROA,0.0366,1947
