,count,mean,std,min,max
code,71787.0,347021.3981779431,292273.1608613791,1.0,920819.0
year,71787.0,2015.4916489057907,6.697592125302988,2000.0,2024.0
Lev,71787.0,0.4523199011992021,0.2611213534853767,0.027886610060220127,3.9718866457090356
SL,70819.0,0.35954153794801263,0.21847061761964642,0.0,3.151222010750923
LL,69996.0,0.08579101181623895,0.10702110947082898,-0.019105465644030047,1.0433508449351854
SDR,70818.0,0.8215251245257774,0.18245668623389033,0.0,1.0493055783244571
Cash,71458.0,0.18477734190438355,0.13897775307351545,0.00047988851198773523,0.8523969105584542
ROA,71787.0,0.029305600202805034,0.08471729969689268,-1.0173286749527706,0.41319684795844963
ROE,71784.0,0.043752138344394856,0.23128540686541996,-2.713135670406418,1.8415411875017997
SLoan,62635.0,0.11591606329965652,0.12070534568671905,0.0,1.279841191124241
LLoan,52544.0,0.061298928444134176,0.08416667221753298,0.0,0.467366531036547
Top1,57744.0,34.39526888681075,15.383901065022785,0.2863,89.991
HHI5,57744.0,0.1617828427944029,0.11750079624659117,0.01069264,0.6127082000000009
Size,71787.0,21.973019651626903,1.5585332654579138,10.842198658885218,31.519196944284978
Age,67687.0,10.415456439198074,7.6772536254138,0.0,35.0
