年份,变量,均值,中位数,标准差,最小值,最大值,样本量
2000,Lev,0.448,0.426,0.21,0.1006,1.4156,1176
2001,Lev,0.4743,0.4392,0.2882,0.0923,2.3826,1258
2002,Lev,0.4903,0.4571,0.2693,0.0918,2.2024,1319
2003,Lev,0.5143,0.4866,0.3087,0.0741,2.5444,1381
2004,Lev,0.5434,0.5093,0.3651,0.0801,3.1144,1468
2005,Lev,0.5683,0.536,0.3631,0.0779,2.945,1464
2006,Lev,0.5959,0.5443,0.4728,0.0903,3.9719,1547
2007,Lev,0.5678,0.5223,0.409,0.0822,3.5396,1661
2008,Lev,0.5577,0.5174,0.3918,0.0748,3.3842,1717
2009,Lev,0.5303,0.5066,0.3148,0.055,2.2962,1865
2010,Lev,0.4812,0.4647,0.3095,0.0279,2.2445,2220
2011,Lev,0.4516,0.4457,0.2699,0.0315,1.6096,2456
2012,Lev,0.4425,0.4381,0.2397,0.0398,1.1094,2586
2013,Lev,0.4493,0.4407,0.2264,0.0464,0.9451,2640
2014,Lev,0.4492,0.4389,0.2207,0.0545,0.9522,2803
2015,Lev,0.4349,0.4202,0.2158,0.0523,0.9368,3098
2016,Lev,0.4209,0.3996,0.2142,0.0563,0.9351,3435
2017,Lev,0.4184,0.4,0.2109,0.0615,0.9391,3827
2018,Lev,0.4364,0.4198,0.2125,0.0653,0.9723,3930
2019,Lev,0.4364,0.4182,0.2175,0.0609,0.9906,4135
2020,Lev,0.4266,0.4112,0.2185,0.0581,0.9897,4589
2021,Lev,0.4267,0.41,0.218,0.0542,0.9717,5012
2022,Lev,0.4186,0.402,0.2189,0.0529,0.972,5279
2023,Lev,0.4137,0.3965,0.218,0.0495,0.9406,5440
2024,Lev,0.4218,0.4055,0.2194,0.0568,0.9438,5481
2000,SL,0.3856,0.3578,0.1978,0.0783,1.2045,1170
2001,SL,0.3994,0.3708,0.2308,0.0723,1.6277,1252
2002,SL,0.4195,0.3896,0.2397,0.0672,1.8739,1312
2003,SL,0.4312,0.4038,0.2372,0.0555,1.6281,1372
2004,SL,0.4526,0.4233,0.2689,0.0665,1.9796,1459
2005,SL,0.4736,0.4459,0.2632,0.0576,1.8094,1455
2006,SL,0.4977,0.4503,0.3742,0.071,3.1512,1533
2007,SL,0.4718,0.426,0.3339,0.0568,2.8027,1636
2008,SL,0.4637,0.4173,0.3409,0.0627,2.8911,1693
2009,SL,0.4303,0.3908,0.2967,0.0465,2.1511,1837
2010,SL,0.3868,0.3547,0.2647,0.0229,1.8348,2186
2011,SL,0.3668,0.3403,0.2334,0.0261,1.3962,2418
2012,SL,0.3477,0.3251,0.2071,0.0,0.9648,2586
2013,SL,0.3506,0.3324,0.1959,0.0,0.8743,2640
2014,SL,0.3499,0.3322,0.1912,0.0,0.8823,2803
2015,SL,0.3385,0.3175,0.1834,0.0,0.8337,3098
2016,SL,0.331,0.3089,0.1751,0.041,0.8024,3381
2017,SL,0.3324,0.3133,0.1716,0.045,0.8085,3762
2018,SL,0.3492,0.3295,0.1779,0.0496,0.8589,3853
2019,SL,0.3465,0.3261,0.1836,0.0419,0.8956,4050
2020,SL,0.338,0.3145,0.1828,0.0448,0.9111,4500
2021,SL,0.3324,0.3091,0.1807,0.0416,0.8595,4916
2022,SL,0.3218,0.2992,0.1796,0.0397,0.8703,5181
2023,SL,0.3113,0.2833,0.1754,0.0378,0.8202,5342
2024,SL,0.3193,0.2967,0.1765,0.0436,0.8446,5384
2000,LL,0.0583,0.0276,0.0807,-0.0191,0.4363,1165
2001,LL,0.0687,0.0322,0.0983,0.0,0.5392,1249
2002,LL,0.0722,0.0314,0.1115,0.0,0.724,1305
2003,LL,0.0778,0.036,0.1172,0.0,0.7586,1365
2004,LL,0.0853,0.0361,0.1355,0.0,0.9402,1451
